Brand	Location	Time the brand is at screen	Duration	Screen Location	Screen Size %	Total Hits	Average Hits	Sequence Frame Number
Gillette	Stumps - Venus	01:00:26	4	E	1.018	16	4	3626
Gillette	Playing Kit - Shirt Front - Venus	01:00:31	3	E	0.995	3	1	3631
Gillette	Playing Kit - Shirt Front - Venus	01:00:51	2	A	0.995	2	1	3651
Dream11	Playing Kit - Arm	01:01:03	4	A	0.805	4	1	3663
Dream11	Virtual Grass Sign - End of Wicket	01:01:08	13	A	0.401	26	2	3668
Gillette	Virtual Grass Sign - End of Wicket - Gillette Venus	01:01:08	13	A	0.371	13	1	3668
KFC	Virtual Grass Sign - End of Wicket	01:01:08	13	A	0.967	13	1	3668
GJ Gardner	Umpire Jersey Front	01:01:21	2	A	0.962	2	1	3681
GJ Gardner	Umpire Jersey Front - Homes	01:01:21	2	A	0.381	2	1	3681
KFC	Virtual Grass Sign - End of Wicket	01:01:23	2	E	2.106	2	1	3683
Dream11	Virtual Grass Sign - End of Wicket	01:01:23	4	B	1.714	8	2	3683
Gillette	Virtual Grass Sign - End of Wicket - Gillette Venus	01:01:23	4	C	1.658	4	1	3683
Dream11	Static Board - End of Wicket Signage	01:01:28	7	B	1.007	35	5	3688
Dream11	Virtual Grass Sign - End of Wicket	01:01:28	7	A	1.714	14	2	3688
Gillette	Static Board - End of Wicket Signage	01:01:28	7	C	0.979	7	1	3688
Gillette	Static Board - End of Wicket Signage - With Exfoliating Lab	01:01:28	7	C	0.619	7	1	3688
Gillette	Virtual Grass Sign - End of Wicket - Gillette Venus	01:01:28	7	A	1.658	7	1	3688
KFC	Static Board - End of Wicket Signage	01:01:28	7	C	1.007	7	1	3688
GJ Gardner	Umpire Jersey Front	01:01:35	1	A	0.962	1	1	3695
GJ Gardner	Umpire Jersey Front - Homes	01:01:35	1	A	0.381	1	1	3695
GJ Gardner	Umpire Jersey Back	01:01:36	1	A	0.962	1	1	3696
Gillette	Static Board - End of Wicket Signage	01:01:37	1	D	5.388	1	1	3697
Gillette	Static Board - End of Wicket Signage - With Exfoliating Lab	01:01:37	1	E	3.087	1	1	3697
Dream11	Playing Kit - Arm	01:01:39	3	A	0.805	3	1	3699
Dream11	Playing Kit - Shirt Front - Series Logo	01:01:41	1	A	0.457	1	1	3701
Gillette	Playing Kit - Shirt Front - Venus	01:01:37	5	A	0.995	7	1.400	3697
KFC	Playing Kit - Shirt Front - Series Logo	01:01:41	1	A	0.410	1	1	3701
Dream11	Virtual Grass Sign - End of Wicket	01:01:51	2	A	0.401	4	2	3711
Gillette	Virtual Grass Sign - End of Wicket - Gillette Venus	01:01:51	2	A	0.371	2	1	3711
KFC	Virtual Grass Sign - End of Wicket	01:01:51	2	A	0.967	2	1	3711
Dream11	Playing Kit - Arm	01:01:53	3	A	0.805	3	1	3713
Dream11	Playing Kit - Shirt Front - Series Logo	01:01:53	3	A	0.457	3	1	3713
Gillette	Playing Kit - Shirt Front - Venus	01:01:53	3	A	0.995	3	1	3713
GJ Gardner	Umpire Jersey Front	01:01:55	1	E	0.962	1	1	3715
GJ Gardner	Umpire Jersey Front - Homes	01:01:55	1	E	0.381	1	1	3715
KFC	Playing Kit - Shirt Front - Series Logo	01:01:53	3	A	0.410	3	1	3713
Dream11	Static Board - End of Wicket Signage	01:01:59	10	B	1.007	50	5	3719
Dream11	Virtual Grass Sign - End of Wicket	01:01:56	13	B	1.714	23	1.769	3716
Gillette	Static Board - End of Wicket Signage	01:01:59	10	C	0.639	10	1	3719
Gillette	Virtual Grass Sign - End of Wicket - Gillette Venus	01:01:56	13	C	1.658	13	1	3716
GJ Gardner	Static Board	01:02:01	8	C	1.265	16	2	3721
GJ Gardner	Static Board - Homes	01:02:01	8	C	0.792	16	2	3721
KFC	Static Board - End of Wicket Signage	01:01:59	10	C	1.007	10	1	3719
KFC	Virtual Grass Sign - End of Wicket	01:02:01	8	E	2.106	8	1	3721
Dream11	Playing Kit - Arm	01:02:14	4	A	0.805	8	2	3734
Gillette	Playing Kit - Shirt Front - Venus	01:02:14	5	A	0.995	5	1	3734
GJ Gardner	Umpire Jersey Front	01:02:18	1	E	0.962	1	1	3738
GJ Gardner	Umpire Jersey Front - Homes	01:02:18	1	E	0.381	1	1	3738
KFC	Virtual Grass Sign - End of Wicket	01:02:18	1	A	22.769	1	1	3738
GJ Gardner	Umpire Jersey Back	01:02:20	1	E	0.962	1	1	3740
Dream11	Static Board - End of Wicket Signage	01:02:22	4	B	1.007	20	5	3742
Dream11	Virtual Grass Sign - End of Wicket	01:02:19	7	B	1.714	11	1.571	3739
Gillette	Static Board - End of Wicket Signage	01:02:22	4	C	0.639	4	1	3742
Gillette	Virtual Grass Sign - End of Wicket - Gillette Venus	01:02:19	7	C	1.658	7	1	3739
GJ Gardner	Static Board	01:02:22	4	C	1.204	4	1	3742
KFC	Static Board - End of Wicket Signage	01:02:22	4	C	1.007	4	1	3742
KFC	Virtual Grass Sign - End of Wicket	01:02:22	4	E	2.106	4	1	3742
Dream11	Playing Kit - Arm	01:02:26	5	A	0.805	5	1	3746
Dream11	Playing Kit - Shirt Front - Series Logo	01:02:26	5	A	0.457	5	1	3746
Gillette	Playing Kit - Shirt Front - Venus	01:02:26	5	A	0.995	5	1	3746
KFC	Playing Kit - Shirt Front - Series Logo	01:02:26	5	A	0.410	5	1	3746
Dream11	Virtual Grass Sign - End of Wicket	01:02:32	2	B	6.336	2	1	3752
Gillette	Virtual Grass Sign - End of Wicket - Gillette Venus	01:02:32	2	C	5.871	2	1	3752
Dream11	Boundary Rope	01:02:42	1	C	0.905	8	8	3762
Ford	Boundary Rope	01:02:42	1	B	0.979	7	7	3762
KFC	Boundary Rope	01:02:42	1	B	0.974	6	6	3762
Dream11	Static Board - End of Wicket Signage	01:02:46	2	A	1.007	10	5	3766
Dream11	Virtual Grass Sign - End of Wicket	01:02:45	3	B	1.714	5	1.667	3765
Gillette	Static Board - End of Wicket Signage	01:02:47	1	A	0.639	1	1	3767
Gillette	Virtual Grass Sign - End of Wicket - Gillette Venus	01:02:45	3	C	1.658	3	1	3765
GJ Gardner	Static Board	01:02:47	2	D	1.265	4	2	3767
GJ Gardner	Static Board - Homes	01:02:48	1	C	0.792	2	2	3768
KFC	Static Board - End of Wicket Signage	01:02:46	3	A	1.673	3	1	3766
Dream11	Playing Kit - Arm	01:02:50	1	A	0.805	1	1	3770
Dream11	Playing Kit - Arm	01:02:52	3	A	0.805	3	1	3772
Gillette	Playing Kit - Shirt Front - Venus	01:02:51	4	A	0.995	4	1	3771
Dream11	Playing Kit - Arm	01:02:56	2	E	0.805	2	1	3776
Dream11	Virtual Grass Sign - End of Wicket	01:03:00	1	C	14.314	1	1	3780
Gillette	Playing Kit - Shirt Front - Venus	01:03:00	1	A	0.995	1	1	3780
GJ Gardner	Umpire Jersey Front	01:03:00	1	B	0.962	1	1	3780
GJ Gardner	Umpire Jersey Front - Homes	01:03:00	1	B	0.381	1	1	3780
Dream11	Virtual Grass Sign - End of Wicket	01:03:03	1	A	2.423	1	1	3783
Dream11	Static Board - End of Wicket Signage	01:03:03	2	B	4.577	10	5	3783
KFC	Virtual Grass Sign - End of Wicket	01:03:03	2	A	2.106	2	1	3783
GJ Gardner	Static Board	01:03:04	2	B	1.265	2	1	3784
KFC	Static Board - End of Wicket Signage	01:03:05	1	C	2.761	1	1	3785
Dream11	Boundary Rope	01:03:06	1	C	0.905	8	8	3786
Ford	Boundary Rope	01:03:06	1	B	0.979	7	7	3786
KFC	Boundary Rope	01:03:06	1	B	0.974	6	6	3786
Oral B	Static Board	01:03:04	3	A	3.263	12	4	3784
Gillette	Playing Kit - Shirt Front - Venus	01:03:08	3	A	0.995	3	1	3788
Dream11	Playing Kit - Arm	01:03:10	3	A	0.805	9	4	3790
Gillette	Playing Kit - Shirt Front - Venus	01:03:12	2	A	0.995	2	1	3792
KFC	TVGI Series Logo	01:03:22	5	A	17.677	5	1	3802
Dream11	Playing Kit - Shirt Front - Series Logo	01:03:58	1	B	0.457	1	1	3838
KFC	Playing Kit - Shirt Front - Series Logo	01:03:58	1	B	0.410	1	1	3838
Gillette	Playing Kit - Shirt Front - Venus	01:03:57	3	B	0.995	3	1	3837
Dream11	Playing Kit - Shirt Front - Series Logo	01:04:14	1	B	0.457	1	1	3854
KFC	Playing Kit - Shirt Front - Series Logo	01:04:14	1	B	0.410	1	1	3854
Gillette	Playing Kit - Shirt Front - Venus	01:04:14	2	E	0.995	2	1	3854
Dream11	Playing Kit - Arm	01:04:14	3	A	0.805	3	1	3854
Dream11	Playing Kit - Arm	01:04:18	1	A	0.805	1	1	3858
Dream11	Playing Kit - Shirt Front - Series Logo	01:04:18	4	A	0.457	4	1	3858
Gillette	Playing Kit - Shirt Front - Venus	01:04:18	4	A	0.995	4	1	3858
GJ Gardner	Umpire Jersey Front	01:04:21	1	E	0.962	1	1	3861
GJ Gardner	Umpire Jersey Front - Homes	01:04:21	1	E	0.381	1	1	3861
KFC	Playing Kit - Shirt Front - Series Logo	01:04:18	4	A	0.410	4	1	3858
KFC	Virtual Grass Sign - End of Wicket	01:04:18	4	A	23.950	4	1	3858
Dream11	Virtual Grass Sign - End of Wicket	01:04:22	2	B	4.384	2	1	3862
Gillette	Virtual Grass Sign - End of Wicket - Gillette Venus	01:04:22	2	C	4.318	2	1	3862
GJ Gardner	Static Board	01:04:24	1	B	1.265	1	1	3864
Oral B	Static Board	01:04:24	1	B	1.103	2	2	3864
Dream11	Boundary Rope	01:04:26	3	A	0.905	20	6.667	3866
Ford	Boundary Rope	01:04:26	3	A	0.979	18	4	3866
KFC	Boundary Rope	01:04:26	3	A	0.974	15	3	3866
Dream11	Playing Kit - Arm	01:04:35	4	A	0.805	4	1	3875
Dream11	Playing Kit - Shirt Front - Series Logo	01:04:35	4	A	0.457	4	1	3875
Gillette	Playing Kit - Shirt Front - Venus	01:04:33	6	D	0.995	6	1	3873
KFC	Playing Kit - Shirt Front - Series Logo	01:04:35	4	A	0.410	4	1	3875
Dream11	Playing Kit - Arm	01:04:48	2	A	0.805	2	1	3888
Dream11	Playing Kit - Shirt Front - Series Logo	01:04:49	1	A	0.457	1	1	3889
Gillette	Playing Kit - Shirt Front - Venus	01:04:49	1	A	0.995	1	1	3889
KFC	Playing Kit - Shirt Front - Series Logo	01:04:49	1	A	0.410	1	1	3889
Dream11	Playing Kit - Arm	01:04:52	2	A	0.805	2	1	3892
Dream11	Playing Kit - Shirt Front - Series Logo	01:04:51	3	A	0.457	3	1	3891
Gillette	Playing Kit - Shirt Front - Venus	01:04:51	3	A	0.995	3	1	3891
KFC	Playing Kit - Shirt Front - Series Logo	01:04:51	3	A	0.410	3	1	3891
KFC	Virtual Grass Sign - End of Wicket	01:04:51	4	A	22.760	4	1	3891
Dream11	Virtual Grass Sign - End of Wicket	01:04:55	2	B	1.714	2	1	3895
Gillette	Virtual Grass Sign - End of Wicket - Gillette Venus	01:04:55	2	C	1.658	2	1	3895
Dream11	Static Board - End of Wicket Signage	01:04:58	3	B	1.007	13	4.333	3898
Dream11	Virtual Grass Sign - End of Wicket	01:04:58	3	A	1.714	5	1.667	3898
Gillette	Virtual Grass Sign - End of Wicket - Gillette Venus	01:04:58	3	A	1.658	3	1	3898
GJ Gardner	Static Board	01:04:59	2	B	1.265	2	1	3899
KFC	Static Board - End of Wicket Signage	01:04:58	3	B	1.007	4	1.333	3898
KFC	Virtual Grass Sign - End of Wicket	01:04:59	2	D	2.106	2	1	3899
Oral B	Static Board	01:04:59	2	B	1.103	4	2	3899
GJ Gardner	Umpire Jersey Back	01:05:05	1	A	0.962	1	1	3905
Dream11	Playing Kit - Arm	01:05:08	3	A	0.805	4	1.333	3908
Dream11	Boundary Rope	01:05:21	2	A	0.905	16	8	3921
Ford	Boundary Rope	01:05:21	2	A	0.979	14	7	3921
KFC	Boundary Rope	01:05:21	2	A	0.974	12	6	3921
Dream11	Static Board - End of Wicket Signage	01:05:26	5	C	1.007	25	5	3926
Dream11	Virtual Grass Sign - End of Wicket	01:05:24	7	B	1.714	12	1.714	3924
Gillette	Static Board - End of Wicket Signage	01:05:27	4	C	0.639	4	1	3927
Gillette	Virtual Grass Sign - End of Wicket - Gillette Venus	01:05:24	7	C	1.658	7	1	3924
GJ Gardner	Static Board	01:05:28	3	C	1.265	3	1	3928
KFC	Static Board - End of Wicket Signage	01:05:26	5	C	1.007	5	1	3926
KFC	Virtual Grass Sign - End of Wicket	01:05:30	1	E	2.106	1	1	3930
Dream11	Playing Kit - Shirt Front - Series Logo	01:05:31	1	A	0.457	1	1	3931
Gillette	Playing Kit - Shirt Front - Venus	01:05:31	1	A	0.995	1	1	3931
KFC	Playing Kit - Shirt Front - Series Logo	01:05:31	1	A	0.410	1	1	3931
Dream11	Playing Kit - Arm	01:05:31	3	A	0.805	3	1	3931
Gillette	Playing Kit - Shirt Front - Venus	01:05:34	1	E	0.995	1	1	3934
Dream11	Playing Kit - Shirt Front - Series Logo	01:05:47	1	A	0.457	1	1	3947
KFC	Playing Kit - Shirt Front - Series Logo	01:05:47	1	A	0.410	1	1	3947
Gillette	Playing Kit - Shirt Front - Venus	01:05:47	2	A	0.995	2	1	3947
KFC	Virtual Grass Sign - End of Wicket	01:05:48	1	A	41.856	1	1	3948
Dream11	Static Board - End of Wicket Signage	01:05:52	2	C	1.007	8	5	3952
Gillette	Static Board - End of Wicket Signage	01:05:53	1	C	0.639	1	1	3953
KFC	Static Board - End of Wicket Signage	01:05:53	1	C	1.007	1	1	3953
KFC	Virtual Grass Sign - End of Wicket	01:05:53	1	E	2.106	1	1	3953
Dream11	Virtual Grass Sign - End of Wicket	01:05:49	6	B	1.714	6	1	3949
Gillette	Virtual Grass Sign - End of Wicket - Gillette Venus	01:05:49	6	C	1.658	6	1	3949
Dream11	Static Board - End of Wicket Signage	01:05:56	2	C	1.007	10	5	3956
Dream11	Virtual Grass Sign - End of Wicket	01:05:56	2	A	1.714	4	2	3956
Gillette	Static Board - End of Wicket Signage	01:05:56	2	C	0.639	2	1	3956
Gillette	Virtual Grass Sign - End of Wicket - Gillette Venus	01:05:56	2	A	1.658	2	1	3956
GJ Gardner	Static Board	01:05:57	1	C	1.153	1	1	3957
KFC	Static Board - End of Wicket Signage	01:05:56	2	C	1.007	2	1	3956
KFC	Virtual Grass Sign - End of Wicket	01:05:56	2	E	2.106	2	1	3956
Oral B	Static Board	01:06:01	1	E	0.906	1	1	3961
Dream11	Static Board - End of Wicket Signage	01:06:01	2	A	1.007	10	5	3961
Dream11	Virtual Grass Sign - End of Wicket	01:05:59	4	B	1.714	6	1.500	3959
Gillette	Static Board - End of Wicket Signage	01:06:01	2	D	0.639	2	1	3961
Gillette	Virtual Grass Sign - End of Wicket - Gillette Venus	01:05:59	4	C	1.658	4	1	3959
KFC	Static Board - End of Wicket Signage	01:06:01	2	A	1.007	2	1	3961
KFC	Virtual Grass Sign - End of Wicket	01:06:02	1	E	2.106	1	1	3962
Gillette	Playing Kit - Shirt Front - Venus	01:06:05	1	A	0.995	1	1	3965
Dream11	Playing Kit - Arm	01:06:11	3	C	0.805	3	1	3971
Dream11	Playing Kit - Arm	01:06:16	6	A	0.805	6	1	3976
Dream11	Virtual Grass Sign - End of Wicket	01:06:22	6	E	0.401	12	2	3982
Gillette	Virtual Grass Sign - End of Wicket - Gillette Venus	01:06:22	6	E	0.371	6	1	3982
KFC	Virtual Grass Sign - End of Wicket	01:06:22	6	E	0.967	6	1	3982
Dream11	Playing Kit - Shirt Front - Series Logo	01:06:28	2	A	0.457	2	1	3988
Gillette	Playing Kit - Shirt Front - Venus	01:06:28	2	A	0.995	2	1	3988
GJ Gardner	Umpire Jersey Front	01:06:28	2	B	0.962	2	1	3988
GJ Gardner	Umpire Jersey Front - Homes	01:06:28	2	B	0.381	2	1	3988
KFC	Playing Kit - Shirt Front - Series Logo	01:06:28	2	A	0.410	2	1	3988
Dream11	Playing Kit - Arm	01:06:28	3	A	0.805	5	1.667	3988
Gillette	Virtual Grass Sign - End of Wicket - Gillette Venus	01:06:31	1	C	1.658	1	1	3991
Dream11	Virtual Grass Sign - End of Wicket	01:06:31	3	B	6.235	3	1	3991
KFC	Virtual Grass Sign - End of Wicket	01:06:32	2	A	6.863	2	1	3992
GJ Gardner	Static Board	01:06:34	1	B	1.265	1	1	3994
GJ Gardner	Static Board - Homes	01:06:34	1	B	0.792	1	1	3994
KFC	Static Board - End of Wicket Signage	01:06:34	1	C	1.007	3	3	3994
Oral B	Static Board	01:06:34	1	B	1.103	3	3	3994
Dream11	Boundary Rope	01:06:39	3	A	0.905	24	8	3999
Ford	Boundary Rope	01:06:39	3	A	0.979	21	7	3999
KFC	Boundary Rope	01:06:39	3	A	0.974	18	6	3999
Dream11	Boundary Rope	01:06:58	1	D	0.905	8	8	4018
Ford	Boundary Rope	01:06:58	1	E	0.979	7	7	4018
KFC	Boundary Rope	01:06:58	1	E	0.974	6	6	4018
Dream11	Playing Kit - Arm	01:07:09	8	A	0.805	16	2	4029
Dream11	Playing Kit - Shirt Front - Series Logo	01:07:09	8	A	0.457	8	1	4029
Gillette	Playing Kit - Shirt Front - Venus	01:07:09	8	D	0.995	8	1	4029
GJ Gardner	Umpire Jersey Front	01:07:07	10	A	0.962	10	1	4027
GJ Gardner	Umpire Jersey Front - Homes	01:07:07	10	A	0.381	10	1	4027
KFC	Playing Kit - Shirt Front - Series Logo	01:07:09	8	A	0.410	8	1	4029
Dream11	Virtual Grass Sign - End of Wicket	01:07:17	4	B	6.336	4	1	4037
Gillette	Virtual Grass Sign - End of Wicket - Gillette Venus	01:07:17	4	C	5.871	4	1	4037
GJ Gardner	Static Board	01:07:21	1	A	1.265	2	2	4041
Dream11	Boundary Rope	01:07:23	4	C	0.905	32	8	4043
Ford	Boundary Rope	01:07:23	4	C	0.979	28	7	4043
KFC	Boundary Rope	01:07:23	4	B	0.974	24	6	4043
Gillette	Playing Kit - Shirt Front - Venus	01:07:35	1	A	0.995	1	1	4055
GJ Gardner	Umpire Jersey Front	01:07:35	2	B	0.962	2	1	4055
GJ Gardner	Umpire Jersey Front - Homes	01:07:35	2	B	0.381	2	1	4055
Dream11	Virtual Grass Sign - End of Wicket	01:07:38	1	A	5.592	1	1	4058
Dream11	Boundary Rope	01:07:42	2	A	0.905	16	8	4062
Ford	Boundary Rope	01:07:42	2	A	0.979	14	7	4062
KFC	Boundary Rope	01:07:42	2	A	0.974	12	6	4062
Dream11	Playing Kit - Arm	01:07:50	7	A	0.805	7	1	4070
Dream11	Virtual Grass Sign - End of Wicket	01:07:57	4	C	2.423	4	1	4077
KFC	Virtual Grass Sign - End of Wicket	01:07:57	4	B	2.106	4	1	4077
Gillette	Virtual Grass Sign - End of Wicket - Gillette Venus	01:08:08	6	E	12.765	6	1	4088
Dream11	Playing Kit - Shirt Front - Series Logo	01:08:15	2	A	0.457	2	1	4095
KFC	Playing Kit - Shirt Front - Series Logo	01:08:15	2	A	0.410	2	1	4095
GJ Gardner	Umpire Jersey Front	01:08:19	1	C	0.962	1	1	4099
GJ Gardner	Umpire Jersey Front - Homes	01:08:19	1	C	0.381	1	1	4099
Dream11	Playing Kit - Arm	01:08:14	12	A	0.805	19	1.583	4094
Dream11	Playing Kit - Shirt Front - Series Logo	01:08:19	7	A	0.457	7	1	4099
Gillette	Playing Kit - Shirt Front - Venus	01:08:15	11	A	0.995	11	1	4095
KFC	Playing Kit - Shirt Front - Series Logo	01:08:19	7	A	0.410	7	1	4099
Dream11	Virtual Grass Sign - End of Wicket	01:08:26	6	C	14.314	6	1	4106
KFC	Virtual Grass Sign - End of Wicket	01:08:26	6	B	13.780	6	1	4106
Dream11	Playing Kit - Shirt Front - Series Logo	01:08:32	1	A	0.457	1	1	4112
Gillette	Playing Kit - Shirt Front - Venus	01:08:32	1	A	0.995	1	1	4112
KFC	Playing Kit - Shirt Front - Series Logo	01:08:32	1	A	0.410	1	1	4112
GJ Gardner	Umpire Jersey Front	01:08:36	2	C	0.962	2	1	4116
GJ Gardner	Umpire Jersey Front - Homes	01:08:36	2	D	0.381	2	1	4116
Dream11	Virtual Grass Sign - End of Wicket	01:08:38	23	B	0.401	46	2	4118
Gillette	Virtual Grass Sign - End of Wicket - Gillette Venus	01:08:38	23	E	0.688	23	1	4118
GJ Gardner	Static Board	01:08:46	15	C	0.835	30	2	4126
KFC	Virtual Grass Sign - End of Wicket	01:08:38	23	B	0.683	23	1	4118
Oral B	Static Board	01:08:46	15	A	0.422	75	5	4126
Dream11	Virtual Grass Sign - End of Wicket	01:09:20	7	C	11.866	7	1	4160
KFC	Virtual Grass Sign - End of Wicket	01:09:20	7	B	13.780	7	1	4160
GJ Gardner	Static Board	01:09:27	1	B	1.265	1	1	4167
GJ Gardner	Static Board - Homes	01:09:27	1	B	0.792	1	1	4167
Dream11	Boundary Rope	01:09:29	9	A	0.905	72	8	4169
Ford	Boundary Rope	01:09:29	9	A	0.979	63	7	4169
KFC	Boundary Rope	01:09:29	9	A	0.974	54	6	4169
Dream11	Virtual Grass Sign - End of Wicket	01:09:44	4	C	5.338	4	1	4184
KFC	Virtual Grass Sign - End of Wicket	01:09:44	4	B	8.951	4	1	4184
Dream11	Boundary Rope	01:09:48	8	A	0.905	64	8	4188
Ford	Boundary Rope	01:09:48	8	A	0.979	56	7	4188
KFC	Boundary Rope	01:09:48	8	A	0.974	48	6	4188
Dream11	Playing Kit - Arm	01:09:56	6	A	0.805	12	2	4196
Dream11	Playing Kit - Shirt Front - Series Logo	01:09:58	4	A	0.457	4	1	4198
Gillette	Playing Kit - Shirt Front - Venus	01:09:56	6	A	0.995	6	1	4196
KFC	Playing Kit - Shirt Front - Series Logo	01:09:58	4	A	0.410	4	1	4198
Dream11	Virtual Grass Sign - End of Wicket	01:10:02	4	C	2.423	4	1	4202
KFC	Virtual Grass Sign - End of Wicket	01:10:02	4	B	2.106	4	1	4202
Dream11	Playing Kit - Arm	01:10:11	2	A	0.805	2	1	4211
Dream11	Playing Kit - Arm	01:10:15	2	A	0.805	2	1	4215
Dream11	Playing Kit - Shirt Front - Series Logo	01:10:16	1	A	0.457	1	1	4216
Gillette	Playing Kit - Shirt Front - Venus	01:10:14	3	A	0.995	3	1	4214
KFC	Playing Kit - Shirt Front - Series Logo	01:10:16	1	A	0.410	1	1	4216
Gillette	Playing Kit - Shirt Front - Venus	01:10:52	7	B	0.995	14	2	4252
Dream11	Playing Kit - Arm	01:10:57	11	A	0.805	11	1	4257
Dream11	Virtual Grass Sign - End of Wicket	01:11:09	2	B	2.746	2	1	4269
Gillette	Virtual Grass Sign - End of Wicket - Gillette Venus	01:11:09	2	C	2.286	2	1	4269
Dream11	Static Board - End of Wicket Signage	01:11:12	4	B	1.007	20	5	4272
Dream11	Virtual Grass Sign - End of Wicket	01:11:12	4	B	1.714	8	2	4272
Gillette	Static Board - End of Wicket Signage	01:11:12	4	C	0.639	4	1	4272
Gillette	Virtual Grass Sign - End of Wicket - Gillette Venus	01:11:12	4	A	1.658	4	1	4272
GJ Gardner	Static Board	01:11:13	3	C	1.166	3	1	4273
KFC	Static Board - End of Wicket Signage	01:11:12	4	C	1.007	4	1	4272
KFC	Virtual Grass Sign - End of Wicket	01:11:15	1	E	1.778	1	1	4275
Dream11	Virtual Grass Sign - End of Wicket	01:11:27	4	B	1.714	4	1	4287
Gillette	Virtual Grass Sign - End of Wicket - Gillette Venus	01:11:27	4	C	1.658	4	1	4287
Gillette	Static Board - End of Wicket Signage	01:11:36	7	C	0.979	7	1	4296
Gillette	Static Board - End of Wicket Signage - With Exfoliating Lab	01:11:36	7	C	0.549	7	1	4296
Dream11	Static Board - End of Wicket Signage	01:11:34	10	C	1.007	50	5	4294
Dream11	Virtual Grass Sign - End of Wicket	01:11:32	12	B	1.714	22	1.833	4292
Gillette	Virtual Grass Sign - End of Wicket - Gillette Venus	01:11:32	12	C	1.658	12	1	4292
KFC	Static Board - End of Wicket Signage	01:11:34	10	C	1.007	10	1	4294
GJ Gardner	Umpire Jersey Front	01:11:46	2	D	0.962	2	1	4306
GJ Gardner	Umpire Jersey Front - Homes	01:11:46	2	D	0.381	2	1	4306
Dream11	Virtual Grass Sign - End of Wicket	01:11:48	3	A	32.319	3	1	4308
GJ Gardner	Umpire Jersey Back	01:11:48	3	A	0.962	3	1	4308
Dream11	Virtual Grass Sign - End of Wicket	01:11:52	1	B	1.714	1	1	4312
Gillette	Virtual Grass Sign - End of Wicket - Gillette Venus	01:11:52	1	C	1.658	1	1	4312
Gillette	Playing Kit - Shirt Front - Venus	01:11:56	1	A	0.995	1	1	4316
Dream11	Static Board - End of Wicket Signage	01:12:25	7	A	0.567	35	5	4345
Dream11	Virtual Grass Sign - End of Wicket	01:12:00	32	B	0.401	49	1.531	4320
Gillette	Virtual Grass Sign - End of Wicket - Gillette Venus	01:12:00	32	C	0.371	32	1	4320
GJ Gardner	Static Board	01:12:25	7	C	1.265	14	2	4345
GJ Gardner	Static Board - Homes	01:12:25	7	C	0.792	14	2	4345
KFC	Static Board - End of Wicket Signage	01:12:25	7	A	0.485	7	1	4345
KFC	Virtual Grass Sign - End of Wicket	01:12:15	17	E	0.967	17	1	4335
Oral B	Static Board	01:12:25	7	A	1.103	7	1	4345
Dream11	Playing Kit - Arm	01:12:32	2	E	0.805	4	2	4352
Dream11	Playing Kit - Shirt Front - Series Logo	01:12:32	2	E	0.457	2	1	4352
KFC	Playing Kit - Shirt Front - Series Logo	01:12:32	2	E	0.410	2	1	4352
Dream11	Virtual Grass Sign - End of Wicket	01:12:34	1	B	4.122	1	1	4354
Gillette	Virtual Grass Sign - End of Wicket - Gillette Venus	01:12:34	1	C	3.925	1	1	4354
Dream11	Static Board - End of Wicket Signage	01:12:37	4	C	1.826	20	5	4357
Dream11	Virtual Grass Sign - End of Wicket	01:12:36	5	B	1.714	5	1	4356
Gillette	Static Board - End of Wicket Signage	01:12:37	4	C	0.979	4	1	4357
Gillette	Static Board - End of Wicket Signage - With Exfoliating Lab	01:12:37	4	C	0.619	4	1	4357
Gillette	Virtual Grass Sign - End of Wicket - Gillette Venus	01:12:36	5	A	1.658	5	1	4356
KFC	Static Board - End of Wicket Signage	01:12:37	4	B	1.673	4	1	4357
KFC	Virtual Grass Sign - End of Wicket	01:12:38	3	E	2.106	3	1	4358
Dream11	Playing Kit - Arm	01:12:43	3	A	0.805	6	2	4363
Dream11	Playing Kit - Shirt Front - Series Logo	01:12:43	3	A	0.457	3	1	4363
Gillette	Playing Kit - Shirt Front - Venus	01:12:43	3	A	0.995	3	1	4363
KFC	Playing Kit - Shirt Front - Series Logo	01:12:43	3	A	0.410	3	1	4363
Dream11	Virtual Grass Sign - End of Wicket	01:12:46	3	B	1.714	3	1	4366
Gillette	Virtual Grass Sign - End of Wicket - Gillette Venus	01:12:46	3	C	1.658	3	1	4366
Dream11	Static Board - End of Wicket Signage	01:12:50	1	B	1.007	5	5	4370
Gillette	Static Board - End of Wicket Signage	01:12:50	1	B	0.639	1	1	4370
KFC	Static Board - End of Wicket Signage	01:12:50	1	B	1.007	1	1	4370
GJ Gardner	Static Board	01:12:50	2	C	1.265	4	2	4370
GJ Gardner	Static Board - Homes	01:12:50	2	C	0.792	4	2	4370
Dream11	Virtual Grass Sign - End of Wicket	01:12:54	2	B	1.714	2	1	4374
Gillette	Virtual Grass Sign - End of Wicket - Gillette Venus	01:12:54	2	C	1.658	2	1	4374
Dream11	Playing Kit - Shirt Front - Series Logo	01:13:01	2	A	0.457	2	1	4381
Gillette	Playing Kit - Shirt Front - Venus	01:13:01	2	A	0.995	2	1	4381
KFC	Playing Kit - Shirt Front - Series Logo	01:13:01	2	A	0.410	2	1	4381
Dream11	Playing Kit - Arm	01:13:01	3	A	0.805	3	1	4381
